fid,DN,_count,_sum,_mean,
1,1,3,0.96117714,0.32039238,0.846787739
2,1,2615,868.6753776,0.332189437,
3,1,23,7.581981242,0.329651358,
4,1,1.222884814,0.858597105,0.702107913,
8,1,0.005966135,0.004185859,0.701603174,
9,1,0.139851868,0.138142699,0.987778723,
10,1,4,3.12722078,0.781805195,
11,1,2,1.686941028,0.843470514,
12,1,2,1.821855366,0.910927683,
13,1,5,3.77969259,0.755938518,
14,1,2,1.429614246,0.714807123,
18,1,15,6.816347301,0.454423153,
20,1,1.632404882,1.563203461,0.957607686,
21,1,19,14.93162233,0.785874859,
22,1,0.135453132,0.196884523,1.453525066,
24,1,2,1.5384354,0.7692177,
26,1,0.686067268,0.536744362,0.782349467,
29,1,1,1.453193784,1.453193784,
30,1,2,1.682087421,0.841043711,
31,1,0.348522149,0.423635277,1.215518951,
33,1,0.833793409,1.056203011,1.266744256,
36,1,2,1.52345264,0.76172632,
37,1,0.244689894,0.195338997,0.798312485,
42,1,0.235226276,0.215037147,0.914171457,
43,1,21,19.91393256,0.948282503,
46,1,2,1.107700109,0.553850055,
49,1,51,36.69632256,0.719535736,
53,1,0.105797851,0.065712288,0.621111748,
54,1,2,1.861819148,0.930909574,
55,1,2,1.753609538,0.876804769,
56,1,0.336398455,0.286231638,0.850870848,
57,1,0.197431749,0.190486258,0.964820802,
58,1,0.205618155,0.254826014,1.239316702,
60,1,35,37.38759923,1.068217121,
61,1,0.033827674,0.038193216,1.129052401,
63,1,0.563345508,0.582039255,1.033183448,
64,1,0.38516959,0.356427726,0.92537868,
65,1,0.25755511,0.140854826,0.546891987,
67,1,5,4.718894005,0.943778801,
70,1,0.557443895,0.453670307,0.813840301,
71,1,16,15.08359647,0.942724779,
72,1,0.252467429,0.226711207,0.897982001,
76,1,0.836340613,1.07125623,1.2808851,
79,1,21,25.21133649,1.200539833,
81,1,2,2.312578678,1.156289339,
82,1,0.033088474,0.044416838,1.342365861,
88,1,2,1.981072307,0.990536153,
89,1,0.288086317,0.380097433,1.319387317,
91,1,2,2.709855437,1.354927719,
94,1,1.149917775,1.647570318,1.432772285,
95,1,120,85.47140938,0.712261745,
97,1,1.238738218,1.30828004,1.05613924,
100,1,18,10.52771914,0.584873286,
101,1,1.543141376,1.015717768,0.658214331,
103,1,6,6.199790478,1.033298413,
104,1,1.910791054,1.047486566,0.548195243,
106,1,38,23.74954784,0.624988101,
107,1,4,3.058963239,0.76474081,
108,1,0.982846614,0.689696248,0.701733351,
109,1,7,5.244090438,0.749155777,
110,1,0.6186701,0.701981399,1.134661913,
111,1,0.969145198,0.791276662,0.816468641,
112,1,5,2.777528703,0.555505741,
115,1,5,3.731238246,0.746247649,
116,1,37,28.72247255,0.776283042,
118,1,0.224046402,0.183643153,0.819665709,
119,1,0.015753058,0.011281065,0.716119051,
122,1,0.310794267,0.367906354,1.183761716,
123,1,3,3.643729448,1.214576483,
124,1,0.953099666,0.601846143,0.631461918,
125,1,2,1.259343088,0.629671544,
127,1,1.127776135,0.720759898,0.639098377,
128,1,0.090257703,0.060030111,0.665096819,
129,1,4,4.208787322,1.052196831,
130,1,8,6.206073582,0.775759198,
131,1,4,3.356418848,0.839104712,
132,1,2,1.59257865,0.796289325,
133,1,0.331743353,0.24363231,0.734399974,
134,1,6,4.842124403,0.807020734,
135,1,50793,53832.1877,1.059834775,
137,1,1.173145169,0.978228963,0.833851589,
138,1,0.991869968,0.579269848,0.584017932,
139,1,6,3.72871685,0.621452808,
141,1,1,0.819000006,0.819000006,
144,1,18,24.05669945,1.336483303,
145,1,3,1.643138051,0.547712684,
146,1,2,1.380649924,0.690324962,
148,1,13,7.791357219,0.599335171,
151,1,38,26.74599978,0.7038421,
153,1,8,4.764900029,0.595612504,
154,1,125,129.8452026,1.038761621,
155,1,2,1.858399987,0.929199994,
156,1,7,7.470300019,1.067185717,
158,1,7,4.369684011,0.624240573,
159,1,2,2.162246704,1.081123352,
161,1,236,159.4751841,0.675742305,
162,1,1.310147153,0.268492819,0.20493333,
163,1,507,165.7821267,0.326986443,
172,1,14,12.93834788,0.924167705,
173,1,0.789569455,0.613888584,0.777497888,
184,1,276,165.2214502,0.598628443,
