County, Cattle_Dairy ,Cattle_Beef ,area_subsistence,area_commercial,frac.subs,,,,
Baringo,147035,371947,"165,508","12,459",0.929992639,,,,
Bomet,315531,7490,"114,187","14,608",0.886579448,,,,
Bungoma,144775,266595,"202,494","19,091",0.913843446,,,,
Busia,35202,243745,"111,661","4,232",0.963483558,,,,
Elgeyo-Marakwet,213751,157723,"55,480","11,974",0.822486435,,,,
Embu,101051,156409,"105,151","16,259",0.866081871,,,,
Garissa,268,1337617,"76,172","9,779",0.886225873,,,,
Homa Bay,12211,338718,"263,463","8,853",0.967489975,,,,
Isiolo,10625,261006,"99,708","2,855",0.972163451,,,,
Kajiado,100850,652700,"689,557","82,923",0.892653531,,,,
Kakamega,177435,292231,"201,093","13,125",0.938730639,,,,
Kericho,265586.31,127794.72,"118,044","16,562",0.876959422,,,,
Kiambu,267700.8768,31509.63585,"66,642","22,247",0.749721563,,,,
Kilifi,53684,202949,"209,112","9,122",0.95820083,,,,
Kirinyaga,87430,39557,"52,890","26,670",0.664781297,,,,
Kisii,54039,136699,"154,291","9,494",0.942033764,,,,
Kisumu,22577,216391,"133,057","17,208",0.885482315,,,,
Kitui,10381,506733,"389,785","16,190",0.960120697,,,,
Kwale,6672,218556,"295,623","6,952",0.977023878,,,,
Laikipia,75774,232848,"67,022","20,508",0.765703187,,,,
Lamu,9886,195359,"33,585","4,009",0.893360643,,,,
Machakos,61779,338424,"248,201","17,610",0.93374992,,,,west pokot
Makueni,26181,266455,"281,186","18,730",0.93754918,,,,
Mandera,1602,1156432,"414,032","15,528",0.963851383,,,,
Marsabit,1115,508112,"60,308","3,985",0.938018136,,,,
Meru,200680,202980,"310,827","45,753",0.871689382,,,,
Migori,11227,405334,"215,644","14,196",0.938235294,,,,
Mombasa,3016,7829,7938,1778,0.817002882,,,,
Murang'a,326802,39681,"125,257","14,009",0.899408327,,,,
Nairobi,14493,14028,"10,822","6,021",0.642522116,,,,
Nakuru,451709,158089,"270,779","83,022",0.765342664,,,,
Nandi,228488,97474,"164,111","46,718",0.778408094,,,,
Narok,94310.496,1402305.645,"557,124","109,107",0.836232478,,,,
Nyamira,34962,86201,"76,896","5,015",0.938775012,,,,
Nyandarua,354393,35380,"69,496","27,102",0.719435185,,,,
Nyeri,384198,3628,"81,690","16,107",0.835301696,,,,
Samburu,7737,277942,"177,593","2,118",0.988214411,,,,
Siaya,9518,395054,"131,706","4,581",0.96638711,,,,
Tana River,66,475330,"52,664","9,489",0.847328367,,,,
Tharaka-Nithi,68364,91594,"134,102","12,281",0.916103646,,,,
Trans Nzoia,211777.7262,9500,"105,145","47,750",0.687694169,,,,
Taita Taveta,31412,136792,"105,987","17,985",0.854926919,,,,
Turkana,7,2883151,"366,142","1,484",0.995963289,,,,
Uasin Gishu,342172,43088,"108,582","74,336",0.593610252,,,,
Vihiga,44030,133850,"48,752","1,517",0.969822356,,,,
Wajir,18,893032,"413,225","12,489",0.970663403,,,,
West Pokot,89819,484992,"289,400","7,666",0.974194287,,,,
