fid,DN,_count,_sum,
1,1,4,1,63327.68657
2,1,5301,2504,
3,1,40,17,
4,1,68,11,
5,1,5,0,
6,1,17,0,
7,1,2,2,
8,1,150,111,
9,1,9,9,
10,1,268,102,
11,1,39,34,
12,1,38,33,
13,1,55,39,
14,1,119,100,
15,1,2,2,
16,1,5,5,
17,1,2,0,
18,1,171,94,
19,1,2,2,
20,1,99,75,
21,1,378,254,
22,1,6,6,
23,1,2,2,
24,1,68,16,
25,1,1.936575829,1.903446991,
26,1,9,5,
27,1,187,34,
28,1,2,2,
29,1,73,7,
30,1,6,2,
31,1,2,0,
32,1,4,1,
33,1,6,0,
34,1,78,17,
35,1,3,3,
36,1,2,0,
37,1,5,3,
38,1,4,4,
39,1,2,2,
40,1,2,2,
41,1,1.936575829,1.936575829,
42,1,32,32,
43,1,221,195,
44,1,2,2,
45,1,14,13,
46,1,2,0,
47,1,4,3,
48,1,2,2,
49,1,133,82,
50,1,13,10,
51,1,2,2,
52,1,2,2,
53,1,1.936575829,1.298802429,
54,1,2,0,
55,1,2,0,
56,1,4,4,
57,1,12,12,
58,1,1.936575829,0.574817221,
59,1,3,3,
60,1,61,14,
61,1,1.936575829,1.902748155,
62,1,2,1,
63,1,3,3,
64,1,2,2,
65,1,2,0,
66,1,2,2,
67,1,22,8,
68,1,4,1,
69,1,11,4,
70,1,1.936575829,1.379131934,
71,1,66,43,
72,1,2,2,
73,1,2,0,
74,1,2,0,
75,1,15,5,
76,1,1.936575829,0.661608594,
77,1,96,29,
78,1,2,2,
79,1,142,95,
80,1,32,6,
81,1,22,18,
82,1,13,10,
83,1,6,2,
84,1,4,0,
85,1,1.936575829,0,
86,1,1.936575829,0.402291078,
87,1,2,2,
88,1,17,15,
89,1,1.936575829,0.217633627,
90,1,1.936575829,1.711972165,
91,1,13,4,
92,1,2,0,
93,1,2,2,
94,1,28,11,
95,1,292,146,
96,1,2,1,
97,1,1.936575829,0.697837611,
98,1,2,0,
99,1,3,1,
100,1,32,7,
101,1,1.936575829,0.393434453,
102,1,6,2,
103,1,7,1,
104,1,1.936575829,0.025784774,
105,1,1.936575829,0.330620036,
106,1,58,13,
107,1,6,2,
108,1,2,1,
109,1,19,12,
110,1,4,3,
111,1,2,1,
112,1,5,0,
113,1,2,2,
114,1,2,2,
115,1,11,6,
116,1,263,104,
117,1,1.936575829,1.724209252,
118,1,3,3,
119,1,1.936575829,0.92082277,
120,1,6,6,
121,1,2,0,
122,1,10,3,
123,1,9,6,
124,1,2,1,
125,1,7,1,
126,1,2,2,
127,1,7,3,
128,1,6,3,
129,1,106,25,
130,1,21,4,
131,1,82,32,
132,1,8,6,
133,1,1.936575829,1.604832476,
134,1,50,44,
135,1,204000,54381,
136,1,8,0,
137,1,5,3,
138,1,5,4,
139,1,22,16,
140,1,2,2,
141,1,17,10,
142,1,4,4,
143,1,9,5,
144,1,91,58,
145,1,22,19,
146,1,10,7,
147,1,2,2,
148,1,89,61,
149,1,2,2,
150,1,127,15,
151,1,3824,539,
152,1,1.936575829,0,
153,1,61,23,
154,1,246,37,
155,1,4,0,
156,1,30,9,
157,1,9,4,
158,1,107,50,
159,1,8,1,
160,1,2,2,
161,1,943,117,
162,1,2,1,
163,1,1422,894,
164,1,6,0,
165,1,772,191,
166,1,67,23,
167,1,5,4,
168,1,2,0,
169,1,6,5,
170,1,2,1,
171,1,4,1,
172,1,428,265,
173,1,16,3,
174,1,2,2,
175,1,10,6,
176,1,6,1,
177,1,2,0,
178,1,16,0,
179,1,6,2,
180,1,2,1,
181,1,14,3,
182,1,2,0,
183,1,10,2,
184,1,8920,1947,
